"","D1","D2_d0","D2_d1","D2_d2","D2_d3","D2_d4","D3_d0","D3_d2","D3_d3","D3_d4","D4_d0","D4_d1","D4_d3","D6_d0","D6_d1","D6_d2","D6_d3","D6_d4","D6_d5","D7_d0","D7_d1","D7_d2","D7_d4","D7_d5","D8_d0","D8_d1","D8_d2","D8_d3","D8_d4","D8_d5","D9_d0","D9_d1","D9_d2","D9_d3","D9_d4","D9_d5"
"1-Propanone, 1-cyclopropyl-",0,0,0,0,0,0.001128858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propanone, 1-phenyl-",0,0,0,0,0,0.0004601292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propen-2-ol, acetate",0,0,0,0,0,0,0,0,0,0,0.0261106748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propene, 2-methoxy-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06352282
"1-Propene, 2-methyl-",0,0.0798570579333333,0,0,0,0.08101785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988766861666667,0,0,0,0,0.1257289,0,0,0,0,0.14256118,0,0
"1-Tetradecanamine, N,N-dimethyl-",0,0,0,0,0,9.366482e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Tetradecene",0,0.0087449362,0,0,0,0.005212733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05186674,0,0,0,0,0,0
"1-Tetrazol-2-ylethanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000810396,0,0,0,0,0,0,0
"1,1-Dichloro-1-fluoroethane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01552811,0.0143333041333333,0,0,0,0,0,0,0,0,0,0,0.0151251839,0,0,0,0.008549325
"1,1-Ethanediol, diacetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002385205,0,0,0,0,0,0,0
"1,1,1-Trifluoro-2-propanol",0,0.0562018986333333,0,0,0,0.02187406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149010791333333,0,0,0,0,0,0,0.005337583,0,0,0,0,0,0
"1,1,1,4,4,4-Hexafluorobut-2-ene",0,0,0,0,0,0.0143308,0,0,5433993.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106794835,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 2-methyl-",0,0,0,0,0,0.0005018491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,1'-Biphenyl, 3-methyl-",0,0,0,0,0.00075439495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid",0.0692060230333333,0,0,0,0,0.0006780325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",0,0,0.00401717775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004183652,0,0,0,0,0
